Türk hukukunda boşanma davası hangi mahkemede açılır?,Eşlerin son altı ay içerisinde birlikte yaşadıkları yerdeki veya eşlerden birinin yerleşim yerindeki Aile Mahkemesinde açılır.
Aile Mahkemesinin bulunmadığı yerlerde boşanma davasına hangi mahkeme bakar?,Asliye Hukuk Mahkemesi.
Türk Medeni Kanunu'na göre boşanma sebepleri kaça ayrılır?,Özel boşanma sebepleri ve genel boşanma sebepleri olmak üzere ikiye ayrılır.
"Aşağıdakilerden hangisi bir 'özel' boşanma sebebidir: Zina mı, yoksa evlilik birliğinin sarsılması mı?",Zina.
Zina (ihanet) nedeniyle boşanma davası açma süresi nedir?,Olayın öğrenilmesinden itibaren altı ay ve her halükarda olayın gerçekleşmesinden itibaren beş yıldır.
Hangi eylemler zina kapsamında değerlendirilmez?,Sarılma ve öpüşme gibi fiiller ile Türkiye uygulamasında eşcinsel ilişkiler.
"Hayata kast, pek kötü veya onur kırıcı davranış nedeniyle boşanma davası hangi grupta yer alır?",Özel boşanma sebepleri arasındadır.
Suç işleme nedeniyle boşanma davası açılabilmesi için suçun hangi nitelikte olması gerekir?,Yüz kızartıcı suç niteliğinde olması gerekir.
Haysiyetsiz hayat sürme nedeniyle boşanma davası açılabilmesi için aranan temel şart nedir?,Haysiyetsiz yaşamın devamlılık göstermesi gerekir.
Terk nedeniyle boşanma davası hangi durumlarda söz konusu olur?,Eşlerden birinin evi terk etmesi veya diğer eşi evden kovup geri kabul etmemesi durumunda.
Akıl hastalığı nedeniyle boşanma davası açılabilmesi için hastalığın ne zaman başlamış olması gerekir?,Hastalığın evlilikten sonra başlamış veya evlilik sırasında devam ediyor olması gerekir.
Anlaşmalı boşanma davası açabilmek için evliliğin en az ne kadar sürmüş olması gerekir?,En az bir yıl sürmüş olması gerekir.
Anlaşmalı boşanma protokolü hangi temel konuları içermelidir?,"Maddi ve manevi tazminat, nafaka ve çocukların velayeti gibi boşanmanın fer'i sonuçlarını."
Fiili ayrılık (ortak hayatın kurulamaması) nedeniyle boşanma davası açabilmek için reddedilen ilk davanın kesinleşmesinden itibaren ne kadar süre geçmelidir?,27.11.2024 tarihi itibariyle bir yıl geçmesi gerekmektedir.
Genel boşanma sebebi olarak kabul edilen ve TMK 166/1'de düzenlenen madde hangisidir?,Evlilik birliğinin temelinden sarsılması.
Evlilik birliğinin sarsılmasında 'tam kusurlu' olan eş boşanma davası açabilir mi?,"Yargıtay uygulamasına göre, tam kusurlu eşin davası kural olarak reddedilir."
Boşanmada 'kusur' kavramının hukuki tanımı nedir?,"Eşlerden birinin evlilik birliğinden doğan sadakat, yardımlaşma, saygı ve sevgi gibi yükümlülüklerini ihlal etmesidir."
"Ortak konutun aboneliklerini (su, elektrik vb.) kapatmak Yargıtay tarafından ne tür bir şiddet sayılmıştır?",Ekonomik şiddet.
Eşin maaş kartına el konulması ve gelirine el konulması hangi tür şiddet eylemidir?,Ekonomik şiddet.
Erkeğin kazancına göre aşırı az harcama yapması (cimrilik) boşanma davasında nasıl değerlendirilir?,Eşe uygulanan bir ekonomik şiddet eylemi olarak kabul edilir.
"Yargıtay Hukuk Genel Kurulu'nun 2021/242 sayılı kararına göre, boşanma hükmü kesinleşmiş olsa bile kusur belirlemesi fer'i sonuçlar için temyiz edilebilir mi?","Evet, boşanma kararı istinaf edilmese bile kusur durumu nafaka ve tazminatlar yönünden incelenebilir."
Boşanma davasında 'maddi tazminat' alabilmek için tarafların kusur durumu nasıl olmalıdır?,Tazminat talep eden tarafın kusursuz veya diğer tarafa göre daha az kusurlu olması gerekir.
Boşanmada 'manevi tazminat' hangi durumlarda istenir?,Boşanmaya sebep olan olaylar yüzünden kişilik hakları saldırıya uğrayan tarafça istenir.
Yoksulluk nafakası alabilmek için aranan kusur şartı nedir?,Nafaka isteyen tarafın kusurunun diğer taraftan daha ağır olmaması gerekir.
Boşanma davası devam ederken eşlerin geçimi için hükmedilen nafaka türü hangisidir?,Tedbir nafakası.
Tedbir nafakası belirlenirken tarafların kusur oranı dikkate alınır mı?,"Hayır, tedbir nafakası kusurdan bağımsız olarak ekonomik korunma amacıyla belirlenir."
Velayet kararı verilirken mahkemenin esas aldığı en temel ilke nedir?,Çocuğun üstün yararı ilkesi.
Eşin sürekli sosyal medya kullanımı Yargıtay tarafından hangi boşanma sebebi kapsamında değerlendirilmiştir?,Evlilik birliğinin temelinden sarsılması.
Kayınvalide ve görümcenin evliliğe aşırı müdahalesi hangi durumda boşanma sebebi sayılır?,Müdahalelerin eşler arasında huzursuzluk yaratması ve evlilik birliğini sarsması durumunda.
"Eşin, ailesinin baskısı karşısında sessiz kalması ve eşini koruyamaması boşanmada ne olarak kabul edilir?",Kusurlu bir davranış olarak kabul edilir.
Boşanma davasında 'eşit kusur' halinde maddi ve manevi tazminat talepleri nasıl sonuçlanır?,Eşit kusur durumunda tazminat talepleri genellikle reddedilir.
Boşanmada kusur oranının ispatı için hangi deliller kullanılabilir?,"Tanık beyanları, mesajlaşma kayıtları, raporlar, ses ve görüntü kayıtları gibi her türlü hukuki delil."
Yargıtay'a göre fiziksel ilişki olmasa dahi gizli görüşmeler ve mesajlaşmalar hangi yükümlülüğün ihlalidir?,Sadakat yükümlülüğünün ihlalidir.
Eşin rızası olmadan aile konutunun satılması boşanmada ne tür bir kusur sayılır?,Ağır kusur.
Evlilikte hiç cinsel ilişki kurulamaması durumu Yargıtay tarafından nasıl nitelendirilir?,Evliliğin sosyal amacına aykırı ve evlilik birliğini temelinden sarsan bir durum.
Erkekteki iktidarsızlık veya erken boşalma sorunları boşanma davasında nasıl değerlendirilir?,Tedavi imkanı ve eşin tutumuyla birlikte evlilik birliğini sarsan birer vakıa olarak görülür.
Vajinismus rahatsızlığı olan kadının tedaviden kaçınması boşanmada nasıl bir sonuç doğurur?,Kadının boşanmaya sebep olan olaylarda kusurlu sayılmasına neden olabilir.
Eşi doğal olmayan (anal) yoldan ilişkiye zorlamak boşanma hukukunda ne olarak adlandırılır?,Cinsel şiddet.
Cinsel mahremiyetin ihlali (yatak odası sırlarının başkalarına anlatılması) boşanmada kusur sayılır mı?,"Evet, bu davranış güven sarsıcı ve kişilik haklarına saldırı niteliğindedir."
Cinsel yolla bulaşan bir hastalığı eşinden gizlemek boşanmada kusur derecesini nasıl etkiler?,Eşin sağlığını tehlikeye atan bu davranış ağır bir kusur olarak kabul edilir.
Fiili ayrılık davasında bir yıllık sürenin kesintiye uğraması ne anlama gelir?,Eşlerin bu süre içinde tekrar birleşip evlilik yükümlülüklerini yerine getirmeye başlamaları.
Hangi durumlarda kusurlu eş dahi fiili ayrılık nedeniyle boşanma davası açabilir?,"Kanuni sürenin dolması ve ortak hayatın kurulamaması durumunda, fiili ayrılık kusura dayanmadığı için her iki eş de açabilir."
Boşanmada manevi tazminat miktarını belirlerken hakim neleri göz önünde bulundurur?,"Tarafların ekonomik-sosyal durumlarını, kusur ağırlığını ve fiilin yarattığı manevi zararı."
Yargıtay 2. Hukuk Dairesi'ne göre kayınvalideye 'Anne' diye hitap etmemek boşanmada bir kusur mudur?,"Evet, Yargıtay'ın bazı kararlarında bu durum kusur olarak sayılmaktadır."
Eşlerin birbirini asılsız şekilde sadakatsizlikle suçlaması (iftira) hangi kapsamda kusur sayılır?,Kişilik haklarına saldırı ve güven sarsıcı davranış kapsamında.
Boşanma kararının kesinleşmesinden itibaren kadın için geçerli olan bekleme süresine ne denir?,İddet müddeti.
Türk hukukunda boşanma davası açıldıktan sonra eşlerin sadakat yükümlülüğü devam eder mi?,"Evet, dava süresince de sadakat yükümlülüğü devam etmektedir."
"Maddi anlamda kesin hüküm teşkil eden boşanma kararı, hangi durumlarda gerekçeyi de bağlayıcı kılar?","Gerekçe, hüküm fıkrası ile ayrılması imkansız bir bağlılık içindeyse kesin hükme dahil kabul edilir."
Hangi nafaka türü çocuğun bakımı ve eğitimi için ödenir?,İştirak nafakası.
Boşanmada kusur oranına itiraz etmek için gidilecek ilk kanun yolu hangisidir?,İstinaf (Bölge Adliye Mahkemesi).
İstinaf mahkemesinin kararına karşı gidilen yüksek mahkeme aşaması nedir?,Temyiz (Yargıtay).
Eşin dini veya sosyal baskı yaparak diğer eşin yaşam tarzına müdahale etmesi boşanmada kusur mudur?,"Evet, kişisel özgürlükleri kısıtlayan ağır bir kusur olarak kabul edilir."
Cinsel birliktelik sırasında eşe karşı aşağılayıcı sözler sarf etmek ne tür bir şiddettir?,Duygusal ve cinsel şiddet.
"Boşanma davası feragat (davadan vazgeçme) ile sonuçlanırsa, bu durum fiili ayrılık davasına dayanak olabilir mi?","Evet, Yargıtay feragatle sonuçlanan davanın da reddedilmiş sayılacağını kabul eder."
TMK 166/4 uyarınca fiili ayrılık için reddedilen davanın ne şekilde sonuçlanmış olması gerekir?,Davanın esastan reddedilmiş olması gerekir (yetkisizlik nedeniyle ret yeterli değildir).
Cinsel uyumsuzluk veya isteksizlik durumunda Yargıtay kusur atfı yaparken neye dikkat eder?,İsteksizliğin haklı bir sebebe dayanıp dayanmadığına ve tedavi çabasına.
Boşanma davasında 'hileli mal kaçırma' eylemleri kusur tespitinde nasıl rol oynar?,Güven sarsıcı davranış ve ekonomik kusur olarak değerlendirilir.
Eşin borçlarını gizlemesi boşanmada ne tür bir davranış sayılır?,Güven sarsıcı davranış.
Boşanmada 'tam kusurlu' sayılan eş yoksulluk nafakası alabilir mi?,"Hayır, kanunen mümkün değildir."
Evlilik birliği içerisinde eşlerden birinin 'fuhuş yapması' hangi özel boşanma sebebine girer?,Haysiyetsiz hayat sürme.
Eşlerden birinin kumar alışkanlığı nedeniyle evin ekonomik düzenini bozması hangi tür kusurdur?,Ekonomik ve aile birliğini ihmal kusuru.
Hukuki anlamda 'şekli kesinleşme' ne demektir?,Hükme karşı tüm olağan yasa yollarının kapanmış olması.
Yargıtay'a göre cinsel sırların başkalarına anlatılması 'tazminat' gerektirir mi?,"Evet, kişilik haklarına ağır saldırı teşkil ettiği için manevi tazminat gerektirir."
Anal ilişki iddialarında davalının eylemi kabul etmesi (ikrarı) boşanma için yeterli midir?,"Evet, Yargıtay rıza olsa dahi bu durumu cinsel şiddet ve boşanma sebebi saymaktadır."
Boşanmada mal paylaşımı davası boşanma davası ile birlikte açılabilir mi?,"Evet, ancak mal paylaşımı davası genellikle boşanma davasının kesinleşmesini bekler."
Fiili ayrılık nedeniyle boşanma davasında yetkili mahkeme neresidir?,Eşlerden birinin yerleşim yeri veya son altı aydır birlikte oturdukları yer mahkemesi.
Eşlerden birinin diğerini evden kovması hukukta hangi özel sebebe girer?,Terk.
Evlilik senedi olmadan yapılan birliktelikler Türk hukukunda boşanma davasına konu olabilir mi?,"Hayır, boşanma davası sadece resmi nikahla kurulan evliliklerin sona erdirilmesi içindir."
Boşanma davasında 'tanık beyanları' hangi konularda delil teşkil eder?,Eşlerin kusurlu davranışları ve evlilik birliğinin temelinden sarsıldığının ispatı konularında.
Cinsel yolla bulaşan bir hastalığın tedavisi mümkünse ve eş tedaviden kaçınıyorsa sonuç ne olur?,Tedaviden kaçınan eş boşanmada kusurlu sayılır.
"Vajinismus nedeniyle boşanmada, kadının bakire olduğunun tespiti yeterli midir?","Hayır, ilişkinin neden gerçekleşmediğine dair psikolojik ve fizyolojik bilirkişi raporu aranır."
Eşin kişilik haklarını zedeleyen 'tiksinti' ifadeleri boşanmada hangi şiddet türüne girer?,Duygusal şiddet.
Boşanma kararının gerekçesi neden önemlidir?,Hukuki denetimin yapılabilmesi ve hükmün hangi vakıalara dayandığının anlaşılması için.
Sürekli geçimsizlik halinde Yargıtay'ın genel yaklaşımı nedir?,Sürekli tartışma ve saygısızlık evliliğin sürdürülmesini imkansız kılan genel bir boşanma sebebidir.
Eşlerden birinin 'terk' ihtarına rağmen eve dönmemesi durumunda kusur kimdedir?,Haklı bir sebebi olmadan dönmeyen eştedir.