Türk Medeni Kanunu'nun (TMK) hangi maddeleri paylı mülkiyet kurumunu genel olarak düzenler?,688 ile 700 üncü maddeler.
TMK m. 688/1 uyarınca paylı mülkiyetin kanuni tanımı nasıldır?,"Birden çok kimsenin, maddi olarak bölünmüş olmayan bir şeyin tamamına belli paylarla malik olmasıdır."
Paylı mülkiyetin unsurlarından biri olan 'maddi bölünmemişlik' neyi ifade eder?,"Eşyanın fiilen paylara ayrılmadığını, aksi halde bağımsız mülkiyet haklarının doğacağını ifade eder."
Paylı mülkiyet ilişkisinde eşya üzerinde kaç adet mülkiyet hakkı bulunur?,Tek bir mülkiyet hakkı söz konusudur.
Paylı mülkiyetin kurulabilmesi için en az kaç kişinin malik olması gerekir?,En az iki kişi gereklidir.
Paylı mülkiyette her paydaşın hakkının aritmetik olarak belirlendiği yapıya ne ad verilir?,İdeal (fikri) pay.
Birlikte mülkiyet ilişkisinin kurulabilmesi için paydaşların malik olma durumu hangi zaman diliminde gerçekleşmelidir?,Aynı zaman dilimi içerisinde gerçekleşmelidir.
Payın doğrudan kişiye bağlı olduğu mülkiyet türüne ne ad verilir?,Bağımsız paylı mülkiyet.
Payın başka bir eşyaya (örneğin komşu taşınmaz malikliğine) bağlı olduğu mülkiyet türü nedir?,Bağımlı paylı mülkiyet.
"TMK m. 721 gereğince, aksi ispat edilmedikçe iki taşınmazı ayıran sınırlıkların statüsü nedir?",Her iki komşunun paylı malı sayılırlar.
Paylı mülkiyetin ortaya çıkabileceği üç temel kaynak nedir?,"Hukuki işlem, yetkili makam kararı veya kanun hükmü."
Bir eşyanın vasiyet yoluyla birden fazla kişiye bırakılması paylı mülkiyetin hangi yolla kurulmasına örnektir?,Ölüme bağlı hukuki işlem yoluyla kurulması.
Miras ortaklığındaki elbirliği mülkiyetinin paylı mülkiyete çevrilmesi hangi yolla gerçekleşir?,Yetkili makam (mahkeme) kararı ile.
TMK m. 776 uyarınca malların karışması veya birleşmesi durumunda paylı mülkiyet hangi yolla doğar?,Doğrudan kanun hükmü gereği.
"Edinilmiş mallara katılma rejiminde, kime ait olduğu ispat edilemeyen malların hukuki statüsü nedir?",Eşlerin paylı mülkiyetinde sayılırlar (TMK m. 222/2).
Taşınmazlarda pay oranlarına ilişkin anlaşmaların geçerlilik şekli nedir?,Resmi şekilde yapılması ve tapu siciline tescil edilmesi gerekir.
"Tapu Sicili Tüzüğü m. 28/3 uyarınca, paylı mülkiyette tapu kaydında paydaş isminin yanında ne belirtilmelidir?",Sahip olunan pay oranı.
"TMK m. 688/3'e göre bir paydaş, kendi payı üzerinde diğer paydaşlardan bağımsız olarak hangi işlemleri yapabilir?",Payını başkasına temlik (devir) veya rehin edebilir.
Payların rehin hakkına konu olması bakımından getirilen temel sınırlama nedir?,Paylar ancak bir bütün halinde rehin edilebilir; bölünerek bir kısmı üzerinde rehin kurulamaz.
Yargıtay İçtihadı Birleştirme Kurulu'nun 1947 tarihli kararına göre paydaşın tek başına payını kiraya verme yetkisi nedir?,Paydaşlar kendi paylarını diğer paydaşlardan bağımsız olarak kiraya veremezler.
Paydaşın malın bütünü bakımından sahip olduğu yetkiler nelerdir?,"Yönetime katılma, kullanma/yararlanma, ortak menfaatleri koruma ve tasarruf yetkileri."
Paylı malın yönetimi kavramı neleri kapsar?,"Fiziki varlığın korunması, amaca uygun kullanım tedbirleri ve hukuki/fiili işlemlerin yerine getirilmesi."
Bir işlemin 'yönetim işi' sayılabilmesi için temel kriter nedir?,İşlemin paylı mülkiyet birliğinin menfaatine yönelik olması.
Paydaşların oy birliğiyle paylı malın yönetimi konusunda kanundan farklı düzenleme yapma yetkisi hangi maddedir?,TMK m. 689.
Paydaşların anlaşmayla dahi kaldıramayacağı yönetim yetkisi hangisidir?,Zarar tehlikesini önlemek için derhâl alınması gereken önlemleri alma yetkisi.
Paydaşların kullanma ve yararlanma yetkisinin genel sınırı nedir?,Diğer paydaşların hakları ile bağdaştığı ölçüde kullanma (TMK m. 693/1).
Paylı maldan elde edilen doğal ve hukuki ürünler paydaşlar arasında nasıl bölüştürülür?,Aksine bir anlaşma olmadıkça payları oranında bölüştürülür.
"Paydaşlar, yararlanmanın biçimini ve şeklini hangi çoğunlukla değiştirebilirler?",Çoğunluk kararıyla (pay ve paydaş çoğunluğu).
Paylı maldan yararlanma yetkisi haksız engellenen paydaşın açabileceği davalar nelerdir?,Müdahalenin men'i (elçekme) ve tazminat davası.
Yargıtay içtihatlarına göre paydaşın ürün tazminatı isteyebilmesi için hangi şartın gerçekleşmesi gerekir?,İntifadan men (yararlanmadan alıkonulma) şartı.
Hangi tür ürünler için tazminat talebinde 'intifadan men' şartı aranmaz?,Kendiliğinden meydana gelen doğal ve hukuki ürünler için.
Taşınmazlarda kullanım anlaşmalarının cüz'i halefleri (yeni malikleri) bağlaması için ne gereklidir?,Anlaşmanın tapu kütüğüne şerh verilmesi (TMK m. 695/2).
Bölünemeyen ortak menfaatlerin korunması yetkisinin kapsamı nedir?,"Her paydaş, diğer paydaşları temsilen koruma sağlayabilir (TMK m. 693/3)."
Eşyanın bütününe ilişkin davalarda paydaşlar arasındaki hukuki ilişki nedir?,Zorunlu dava arkadaşlığı.
Paylı malın tamamı üzerinde mülkiyeti devretme veya ipotek kurma yetkisi hangi şartla mümkündür?,Aksi kararlaştırılmadıkça bütün paydaşların rızası (oy birliği) ile.
Paydaşların tamamı adına yapılan bir tasarruf işleminde tek bir paydaş için şekil geçersizliği varsa sonuç ne olur?,Tasarrufun tamamı geçersiz olur.
TMK m. 694 uyarınca yönetim giderleri ve vergiler paydaşlar arasında nasıl paylaştırılır?,Aksine hüküm bulunmadıkça payları oranında karşılanır.
Payına düşenden fazlasını ödemiş paydaşın diğer paydaşlara karşı sahip olduğu hak nedir?,Payları oranında rücu etme hakkı.
Paylı mülkiyet işlemlerini gerçekleştirmek üzere paydaşların oluşturduğu topluluğun adı nedir?,Paylı mülkiyet birliği.
Küçük onarımları yaptırmak ve tarımsal işleri yürütmek hangi yönetim kategorisine girer?,Olağan yönetim işleri (TMK m. 690/1).
İşletme usulünün değiştirilmesi veya adi kira sözleşmesi yapılması hangi yönetim türüdür?,Önemli yönetim işleri (TMK m. 691/1).
Önemli yönetim işlerinin yerine getirilebilmesi için gereken karar yeter sayısı nedir?,Pay ve paydaş çoğunluğu.
Paylı malın değerinin korunması için gerekli olan ve olağan sınırları aşan onarım işlerinde hangi çoğunluk aranır?,Pay ve paydaş çoğunluğu (TMK m. 691/2).
Paydaşın kendi payını bir başkasına devretmesi paylı mülkiyeti nasıl etkiler?,"Paylı mülkiyet birliği bozulmaz, sadece ilgili paydaş bakımından sona erer."
Paydaşın payı üzerinde cebri icra (haciz ve satış) yapılması mümkün müdür?,"Evet, alacaklı pay oranında takip yapıp payı sattırabilir."
Öğretideki ağırlıklı görüşe göre bir paydaşın pay hakkından feragat etmesinin hukuki niteliği nedir?,Payın terki (abandonment).
Kısmen kamulaştırma neticesinde ilgili idare paylı mülkiyet birliğine dahil olur mu?,"Hayır, kamulaştırılan kısım ayrılarak idare adına bağımsız taşınmaz olarak tescil edilir."
Paylı mülkiyetin tamamının sona ermesi durumunda ne gerçekleşir?,Pay sahipliği bulunan kişilerin mevcut birliktelik durumları tamamen ortadan kalkar.
TMK m. 688/1'deki 'maddi olarak bölünmemiş' ifadesinin zıttı gerçekleşirse ne olur?,Paylı mülkiyet sona erer ve bağımsız mülkiyet hakları tesis edilmiş olur.
Paylı mülkiyette pay oranlarının her bir paydaş için eşit olması zorunlu mudur?,"Hayır, pay oranları serbestçe belirlenebilir; belirlenmemişse eşit sayılır."