Arsa payı karşılığı inşaat sözleşmelerinde arsa sahibinin temel amacı nedir?,Meydana getirilen inşaat aracılığıyla kendisine isabet eden bağımsız bölümlere bir an önce kavuşmaktır.
Yüklenicinin bağımsız bölümleri teslimde gecikmesi halinde arsa sahibinin ifaya ek olarak talep edebileceği yaptırım nedir?,Ceza koşulu (cezai şart) veya kira tazminatı.
"Yargıtay uygulamasına göre, arsa sahibinin temerrüde düşen yükleniciye karşı sözleşmeyi sona erdirme yetkisi kural olarak nasıl kullanılır?",Tek taraflı irade beyanı yeterli olmayıp mahkeme kararı gereklidir.
Öğretide eser sözleşmesinin zaman yönünden hukuki niteliği hakkındaki hâkim görüş nedir?,Ani edimli bir sözleşme olduğu yönündedir.
"Eser sözleşmesini ani edimli kabul eden görüşe göre, yüklenicinin faaliyetinin zamana yayılması neden sözleşmeyi sürekli borç ilişkisi yapmaz?","Çünkü alacaklının ifaya olan menfaati zaman içinde değil, eserin teslimiyle bir defada gerçekleşir."
Eser sözleşmesinin sürekli borç doğuran bir ilişki olduğunu savunan yazarlar hangi unsura dayanmaktadır?,Eserin meydana getirilmesi (imalat) sürecinin bir zaman dilimine yayılmasına.
Eser sözleşmesinin ani edimli mi yoksa sürekli edimli mi olduğu tartışması hangi hukuki durumda büyük önem arz eder?,Sözleşmenin sona erdirilmesi halinde o ana kadar yapılan kısmın hukuki niteliği ve feshin etkisi bakımından.
Yargıtay'ın 25.01.1984 tarih ve 3/1 sayılı İçtihadı Birleştirme Kararı'nın temel istisnası nedir?,Olayın niteliği ve özelliğinin haklı gösterdiği (inşaatın büyük oranda tamamlandığı) hallerde feshin ileriye etkili sonuç doğurmasıdır.
İnşaat sözleşmelerinde geriye etkili dönme yerine ileriye etkili feshin kabul edilmesinin temel dayanağı olan dürüstlük kuralı maddesi hangisidir?,Türk Medeni Kanunu Madde 2.
"Güncel Yargıtay içtihatlarına göre, bir inşaatın ileriye etkili feshedilebilmesi için asgari tamamlanma oranı genellikle kaç kabul edilir?",$\%90$ ve üzeri.
Yargıtay'ın ileriye etkili fesih için $\%90$ oranının yanı sıra aradığı ek kriter nedir?,Eksik kalan işlerin amaçlanan kullanıma engel oluşturmadığının belirlenmesi.
Ceza koşulunun asıl alacağa bağlı olması durumuna hukuken ne ad verilir?,Fer'i nitelik.
Fer'i nitelik uyarınca asıl borcun zamanaşımına uğraması ceza koşulunu nasıl etkiler?,Ceza koşulunun da zamanaşımına uğramasına yol açar (TBK m. 152).
Asıl borcun geçersiz olması durumunda ceza koşulunun akıbeti ne olur?,Kural olarak ceza koşulu da geçersiz hale gelir (TBK m. 182/II).
Müspet zarar (olumlu zarar) kavramının tanımı nedir?,Alacaklının borcun zamanında ve gereği gibi ifa edilmesine yönelik menfaatinin ihlali sonucu uğradığı zarardır.
Menfi zarar (olumsuz zarar) nedir?,Hüküm ifade ettiğine güvenilen bir sözleşmenin geçersiz olması veya kurulamaması nedeniyle uğranılan zarardır.
Ceza koşulu niteliği itibariyle hangi zarar kategorisine girer?,Müspet zarar.
Arsa payı karşılığı inşaat sözleşmelerinde 'dönme' kararı verildiğinde ceza koşulu neden talep edilemez?,"Dönme ile sözleşme geçmişe etkili ortadan kalktığından, fer'i nitelikteki ceza koşulu da baştan itibaren geçersiz olur."
Sözleşmeden dönme halinde dahi ceza koşulunun istenebilmesi için gereken şart nedir?,Tarafların sözleşmede dönme halinde de cezanın ödeneceğini açıkça kararlaştırmış olmaları.
İleriye etkili 'fesih' ile sona erme halinde ceza koşulu talebi mümkün müdür?,"Evet, fesih anına kadar tahakkuk etmiş olan ceza koşulu talep edilebilir."
Yargıtay'ın bazı kararlarında 'fesih' halinde ceza koşuluna hükmetmemesinin temel nedeni nedir?,Sözleşmenin ani edimli olduğu ve sona ermenin her durumda geriye etkili sonuç doğurduğu varsayımı.
"İfaya eklenen ceza koşulu, seçimlik haklardan hangisiyle birlikte talep edilebilir?",Aynen ifa talebiyle birlikte.
"Sözleşmenin mahkemece feshine karar verilen hallerde, sona erme anı ne zamandır?",Mahkeme kararının kesinleştiği andır.
Fesih durumunda ceza koşulu hangi tarihler arasındaki süre için talep edilebilir?,Teslim borcunun ifa edilmesi gereken tarihten fesih kararının kesinleşmesine kadar geçen süre için.
Yüklenicinin gecikmesinin arsa sahibinden kaynaklandığı hallerde ceza koşulu istenebilir mi?,"Hayır, yüklenicinin gecikmesi haklı bir sebebe dayanıyorsa ceza koşulu talep edilemez."
Arsa sahibinin sözleşmeden dönerek talep edebileceği zarar türü hangisidir?,Menfi zarar.
Noter harçları ve damga vergisi gibi giderler hangi zarar türüne örnektir?,Menfi zarar.
"Borçlunun edime yönelik faaliyetinin uzun sürmesi, sözleşmeye kendiliğinden sürekli borç ilişkisi niteliği kazandırır mı?","Hayır, alacaklının menfaati bir kerede gerçekleşiyorsa sözleşme ani edimlidir."
Arsa payı karşılığı inşaat sözleşmesi yüklenicinin 'çalışma borcu' açısından hangi görüşe göre sürekli borç ilişkisi sayılabilir?,Karma görüşe göre.
Fesih bildirimi ile dönme bildirimi arasındaki temel fark nedir?,"Fesih ileriye etkili (ex nunc), dönme geriye etkili (ex tunc) sonuç doğurur."
İnşaatın $\%75$ oranında tamamlandığı eski bir Yargıtay kararında hangi sona erme biçimi uygun görülmüştür?,İleriye etkili fesih.
TBK m. 125 uyarınca seçimlik haklardan aynen ifadan vazgeçilerek dönme seçilirse ceza koşulu ne olur?,İfaya eklenen ceza koşulunu talep etmek mümkün olmaz.
Arsa sahibinin ek iş talep etmesi yüklenicinin gecikmesini nasıl etkiler?,Gecikmeyi haklı kılar ve bu süre için ceza koşulu işlemez.
"Mahkemece sözleşmenin feshine karar verildiğinde, ceza koşulu talebinin reddedilmesinin yaygın (fakat yazara göre hatalı) gerekçesi nedir?",Ceza koşulunun müspet zarar olması ve sözleşmenin ayakta kalmasına bağlı olması.
"Yargıtay 15. Hukuk Dairesi'ne göre, fesih halinde ceza koşulu istenebilmesi için sözleşmede ne bulunmalıdır?",Fesih halinde de ceza ödeneceğine dair açık bir hüküm.
İnşaatın $\%68$ seviyesinde olduğu bir olayda Yargıtay'ın tavrı nedir?,İleriye etkili feshin uygun olmadığı (geriye etkili dönme gerektiği) yönündedir.
Yargıtay'ın sona erme kararlarında terminolojik olarak yaptığı hata nedir?,Dönme ve fesih terimlerini bazen birbirinin yerine veya yanlış anlamda kullanması.
Gecikme nedeniyle ödenen kira tazminatının hukuki niteliği nedir?,Götürü tazminat niteliği de taşıyabilen bir ceza koşuludur.
Sözleşmede kararlaştırılan cezanın geçersiz olması asıl borcun geçerliliğini etkiler mi?,"Hayır, etkilemez."
Eser sözleşmesinde alacaklının ifaya olan menfaati ne zaman gerçekleşmiş kabul edilir?,Tamamlanan eserin teslim edilmesiyle.
Yargıtay 23. Hukuk Dairesi inşaat seviyesi için hangi oranı istikrar kazanmış bir şekilde aramaktadır?,$\%90$ ve üzeri.
Arsa sahibinin menfi zararı kapsamında 'kaçırılan fırsatlar' tazmin edilebilir mi?,"Evet, menfi zarar kalemlerinden biridir."
Borçlunun perspektifinden (eseri yaratma süreci) bakıldığında eser sözleşmesi hangi niteliğe bürünebilir?,Sürekli sözleşme ilişkisi niteliğine.
Sözleşme mahkeme kararıyla sona erdirilinceye kadar tarafların hak ve borçları ne durumdadır?,Sözleşme geçerli bir şekilde hüküm ve sonuçlarını doğurmaya devam eder.
Ceza koşulu ile asıl alacak arasındaki ilişkiyi belirleyen temel kural nedir?,Ceza koşulunun varlığı ve geçerliliği asıl alacağın varlığına bağlıdır.
Hangi durumlarda yüklenici temerrüde düşse bile ceza koşulu ödemekten kurtulabilir?,"Gecikmenin kendisine isnat edilemeyen (mücbir sebep, arsa sahibi kusuru vb.) nedenlerden kaynaklanması durumunda."
Fesih bildirimi yapıldıktan sonraki borç ihlalleri için ceza koşulu istenebilir mi?,"Hayır, sadece fesih anına kadar olan ihlaller için istenebilir."
Sözleşmenin ani edimli kabul edilmesi durumunda kural olarak hangi sona erdirme yolu kullanılır?,Sözleşmeden dönme.
Yargıtay'ın $\%91$ tamamlama oranında verdiği karar feshin hangi etkisine ilişkindir?,İleriye etkili fesih.
Eser sözleşmesinin ani edimli yapısına rağmen Yargıtay'ın fesih kabul etmesinin sebebi hangi hukuk ilkesidir?,Hakkın kötüye kullanılması yasağı (dürüstlük kuralı).
Arsa payı karşılığı inşaat sözleşmelerinde ceza koşulu genelde ne şekilde kararlaştırılır?,Aylık olarak ve bağımsız bölüm başına bir bedel şeklinde.
Menfi zarar hesabında esas alınan hayali durum nedir?,Sözleşmenin hiç kurulmamış olması hali.
Müspet zarar hesabında esas alınan hayali durum nedir?,Sözleşmenin zamanında ve gereği gibi ifa edilmiş olması hali.
"Arsa sahibinin bizzat inşaatı yapamayacak olması, sözleşmenin hangi özelliğini vurgular?",Arsa payı karşılığı inşaat sözleşmesini akdetmedeki temel ihtiyacını.
Fesih tarihine kadar tahakkuk eden kira tazminatının istenebileceğine dair kararlar hangi hukuki görüşü destekler?,Feshin ileriye etkili sonuç doğurduğu ve geçmiş alacakları ortadan kaldırmadığı görüşünü.
Yargıtay'ın $\%67$ seviyesindeki bir inşaatta ileriye etkili feshi kabul etme gerekçesi ne olmuştur?,Tarafların bu konuda temyiz itirazı olmaması ve fesih hususunda iradelerinin birleşmesi.
İşin 'büyük ölçüde tamamlanmış olması' kavramının içeriği kimler tarafından doldurulmaktadır?,Doktrin ve yargı uygulaması (Yargıtay) tarafından.
Sözleşmede 'feshin sonuçları' hakkında özel bir ceza koşulu kararlaştırılabilir mi?,"Evet, taraflar sona erme durumuna özel cezai şart belirleyebilirler."
Fesih ile birlikte borç ilişkisinin sadece hangi kısmı ortadan kalkar?,Geleceğe yönelik (henüz ifa edilmemiş) olan kısmı.
Yargıtay 15. HD'nin nispeten eski kararlarında $\%70$ seviyesi fesih için yeterli görülmüş müdür?,"Evet, yeterli görülmüştür."
Yüklenicinin bağımsız bölümleri teslim borcu hangi tür bir edimdir?,Sonuç edimidir (ani edim niteliğindedir).
İnşaat yasağı gibi idari kararlar yüklenicinin gecikmesini nasıl etkiler?,Haklı gecikme sebebi sayılır ve bu dönem için ceza istenemez.
Arsa sahibinin seçimlik hakları hangi durumda ortaya çıkar?,Yüklenicinin teslim borcunda temerrüde düşmesi halinde.
Kira kaybı tazminatı müspet zarar mıdır yoksa menfi zarar mıdır?,Müspet zarardır.
Yargıtay içtihat birleştirme kararında 'eser sözleşmesi' tabiri kullanılsa da bu inşaat sözleşmelerini kapsar mı?,"Evet, inşaat sözleşmeleri eser sözleşmesinin bir türü olduğu için kapsar."
Feshin geriye etkili olması durumunda taraflar birbirlerinden neyi talep edebilirler?,Verdiklerini sebepsiz zenginleşme hükümlerine göre geri isteyebilirler.
Yargıtay'ın $\%90$ oranını aramasındaki temel endişe nedir?,Sözleşmenin geriye etkili feshinin (dönme) yaratacağı ağır ekonomik sonuçlar ve adaletsizlik.
Mevzuat değişikliği nedeniyle inşaatın durması halinde ceza koşulu işler mi?,"Hayır, yükleniciye isnat edilemeyen bir gecikme olduğu için işlemez."
Sözleşmenin sona ermesiyle fer'i hakların akıbeti ne olur?,"Kural olarak asıl borçla birlikte sona ererler, ancak fesih hali müstesnadır."
Yargıtay'ın son kararlarında eksik işlerin 'amaçlanan kullanıma engel olmaması' neyi ifade eder?,Binanın oturuma veya kullanıma hazır hale gelmiş olması gerektiğini.
Yargıtay 15. HD'nin $\%88$ seviyesinde fese izin vermesinin ek gerekçesi nedir?,Bağımsız bölümlerin üçüncü kişilere satılmış olması.
İş sahibinin ifadan vazgeçip tazminat istemesi durumunda ceza koşulu istenebilir mi?,Aksi kararlaştırılmadıkça ifaya eklenen ceza istenemez.
Arsa payı karşılığı inşaat sözleşmelerinde tarafların iradesiyle sona erme neden kural olarak kabul edilmez?,Tapuda işlem yapılmasını gerektiren resmi şekle bağlı yapısı ve tarafların korunması gereği.
Sözleşmenin feshi talebiyle açılan davada mahkeme neye karar verir?,Sözleşmenin sona erip ermediğine ve bunun etkisine (ileri/geri).
"Öğretideki 'karma görüş', inşaat sözleşmesini hangi açıdan sürekli borç ilişkisi sayar?",Yüklenicinin çalışma ve eseri meydana getirme borcu açısından.
Bir eserin reddedilemeyecek seviyeye gelmesi durumunda ceza koşulu talebi neye bağlıdır?,Sözleşmenin ayakta tutulmasına veya feshin ileriye etkili olmasına.
Gecikme tazminatı yerine kararlaştırılan 'toptan bedel' ne tür bir hukuki kurumdur?,Bir tür ceza koşuludur.
İleriye etkili fesihte yüklenici o ana kadar yaptığı kısım için ne talep edebilir?,Sözleşmedeki bedelin (arsa payının) yaptığı işe oranlı kısmını.
Yargıtay'ın 1984 İBK kararı öncesindeki genel uygulama nasıldı?,Sözleşmenin sona ermesinin her durumda geriye etkili (dönme) sonuç doğuracağı kabul ediliyordu.
Arsa sahibinin 'kaçırılan fırsat' olarak başka bir müteahhitle daha uygun şartlarda anlaşma imkanını yitirmesi hangi zarardır?,Menfi zarar.